%time,field0,field1
8225000000,27.3113443779,-3.06829139415
8226000000,27.3113443779,-3.06829139415
8226000000,27.3102433756,-3.0683128758
8228000000,27.3080182596,-3.06835312662
8228000000,27.3080182596,-3.06835312662
8229000000,27.3068941541,-3.06837189679
8231000000,27.3046229092,-3.06840672914
8231000000,27.3046229092,-3.06840672914
8232000000,27.303475778,-3.06842279232
8234000000,27.3011584767,-3.06845221524
8234000000,27.3011584767,-3.06845221524
8235000000,27.2999883143,-3.068465576
8237000000,27.2988105099,-3.06847803695
8238000000,27.2964319073,-3.06850026151
8239000000,27.2952311163,-3.06851002614
8239000000,27.2952311163,-3.06851002614
8241000000,27.294022698,-3.06851889302
8242000000,27.2915829094,-3.06853393563
8242000000,27.2915829094,-3.06853393563
8244000000,27.2903515672,-3.06854011239
8244000000,27.2891125692,-3.06854539348
8245000000,27.2878659611,-3.0685497794
8247000000,27.2853498425,-3.0685558679
8247000000,27.2853498425,-3.0685558679
8248000000,27.2840803381,-3.06855757151
8250000000,27.2828032363,-3.06855838206
8251000000,27.2815184971,-3.06855830009
8251000000,27.2802261665,-3.06855732611
8252000000,27.2789262041,-3.06855546066
8254000000,27.2776186562,-3.06855270425
8255000000,27.276303482,-3.06854905744
8257000000,27.2736503526,-3.06853909471
8257000000,27.2736503526,-3.06853909471
8257000000,27.2736503526,-3.06853909471
8259000000,27.2709668371,-3.06852557673
8260000000,27.2682529555,-3.06850850779
8261000000,27.2682529555,-3.06850850779
8262000000,27.2655087274,-3.06848789219
8262000000,27.2655087274,-3.06848789219
8263000000,27.2641252506,-3.06847625574
8264000000,27.2627341938,-3.06846373426
8266000000,27.2599293271,-3.06843603836
8266000000,27.2599293271,-3.06843603836
8268000000,27.2585155212,-3.06842086503
8269000000,27.2556652207,-3.06838787034
8269000000,27.2556652207,-3.06838787034
8270000000,27.2542287301,-3.06837005007
8272000000,27.2527846509,-3.0683513486
8273000000,27.2513330315,-3.06833176646
8273000000,27.249873827,-3.06831130422
8275000000,27.2484070859,-3.06828996241
8275000000,27.2469327631,-3.06826774162
8277000000,27.2454509073,-3.06824464238
8277000000,27.2439614728,-3.06822066525
8278000000,27.2424645088,-3.0681958108
8280000000,27.2394479028,-3.06814347217
8280000000,27.2394479028,-3.06814347217
8282000000,27.2379282637,-3.06811598912
8283000000,27.2348663682,-3.06805839836
8283000000,27.2348663682,-3.06805839836
8284000000,27.2333241148,-3.06802829178
8286000000,27.2317742934,-3.06799731184
8287000000,27.2302169542,-3.06796545909
8287000000,27.2302169542,-3.06796545909
8289000000,27.2270796282,-3.06789913752
8290000000,27.2239121466,-3.06782933166
8290000000,27.2239121466,-3.06782933166
8292000000,27.2223171126,-3.06779312357
8292000000,27.2207145177,-3.06775604615
8294000000,27.219104413,-3.06771809997
8294000000,27.2174867492,-3.06767928564
8295000000,27.2158615774,-3.06763960372
8297000000,27.2142288481,-3.06759905482
8297000000,27.2125886127,-3.06755763953
8298000000,27.210940821,-3.06751535843
8299000000,27.2092855249,-3.06747221213
8301000000,27.2076226738,-3.06742820123
8301000000,27.2059523197,-3.06738332631
8303000000,27.2042744118,-3.067337588
8305000000,27.2008960397,-3.06724352358
8305000000,27.2008960397,-3.06724352358
8306000000,27.1991955768,-3.06719519869
8306000000,27.1974875617,-3.06714601285
8308000000,27.1957720475,-3.06709596665
8309000000,27.1923184176,-3.06699329568
8309000000,27.1923184176,-3.06699329568
8311000000,27.190580329,-3.06694067216
8311000000,27.1888346896,-3.06688719079
8313000000,27.1870815532,-3.06683285218
8314000000,27.1835526833,-3.06672160584
8314000000,27.1835526833,-3.06672160584
8315000000,27.18177695,-3.06666469938
8317000000,27.179993721,-3.06660693823
8318000000,27.1764046676,-3.06648885451
8318000000,27.1764046676,-3.06648885451
8319000000,27.1745988434,-3.06642853324
8321000000,27.1727855241,-3.0663673599
8322000000,27.1691362908,-3.06624245965
8322000000,27.1691362908,-3.06624245965
8324000000,27.1673003767,-3.06617873408
8324000000,27.1654569679,-3.0661141591
8326000000,27.1636060087,-3.06604873541
8327000000,27.1598815505,-3.06591534454
8327000000,27.1598815505,-3.06591534454
8329000000,27.1580080514,-3.06584737875
8330000000,27.1542384563,-3.06570890994
8330000000,27.1542384563,-3.06570890994
8331000000,27.1523423597,-3.06563840831
8332000000,27.1504387682,-3.0655670628
8334000000,27.1485276245,-3.06549487414
8334000000,27.1466089857,-3.06542184302
8335000000,27.1446828226,-3.06534797019
8337000000,27.1427491062,-3.06527325636
8337000000,27.1408078942,-3.06519770227
8339000000,27.1369028662,-3.06504407625
8339000000,27.1369028662,-3.06504407625
8341000000,27.1349390496,-3.06496600581
8341000000,27.1329677363,-3.06488709808
8343000000,27.1309888676,-3.06480735383
8344000000,27.1270085796,-3.0646453588
8344000000,27.1270085796,-3.0646453588
8346000000,27.1250071598,-3.06456310958
8347000000,27.1209817075,-3.06439611163
8347000000,27.1209817075,-3.06439611163
8348000000,27.118957674,-3.06431136448
8350000000,27.1169261417,-3.06422578629
8350000000,27.1148870502,-3.06413937786
8351000000,27.1128404592,-3.06405214
8353000000,27.1107863081,-3.06396407354
8354000000,27.1066554445,-3.06378545814
8354000000,27.1066554445,-3.06378545814
8355000000,27.1045787313,-3.06369491087
8357000000,27.1004026791,-3.06351134145
8357000000,27.1004026791,-3.06351134145
8358000000,27.0983033391,-3.06341832104
8360000000,27.096196497,-3.06332447796
8361000000,27.0919601809,-3.06313432741
8361000000,27.0919601809,-3.06313432741
8363000000,27.0876937282,-3.06294089695
8363000000,27.0876937282,-3.06294089695
8364000000,27.0855492152,-3.06284295401
8365000000,27.0833971357,-3.06274419383
8367000000,27.0812375516,-3.06264461733
8367000000,27.0812375516,-3.06264461733
8368000000,27.0768957436,-3.06244301917
8370000000,27.0747135188,-3.0623409994
8372000000,27.0725237882,-3.06223816713
8372000000,27.0681216826,-3.06203006897
8372000000,27.0681216826,-3.06203006897
8374000000,27.0636894241,-3.06181873262
8374000000,27.0636894241,-3.06181873262
8376000000,27.061461971,-3.06171185264
8377000000,27.0569844789,-3.06149567416
8377000000,27.0569844789,-3.06149567416
8379000000,27.0547344396,-3.06138637775
8380000000,27.0502117096,-3.06116537586
8380000000,27.0502117096,-3.06116537586
8381000000,27.0479390183,-3.06105367253
8383000000,27.0456588188,-3.06094116904
8384000000,27.0410757661,-3.06071376601
8384000000,27.0410757661,-3.06071376601
8385000000,27.0387729126,-3.06059886871
8387000000,27.0364625507,-3.06048317571
8388000000,27.0318191713,-3.06024940724
8388000000,27.0318191713,-3.06024940724
8390000000,27.0294861866,-3.0601313341
8391000000,27.0247975625,-3.05989281587
8391000000,27.0247975625,-3.05989281587
8393000000,27.0224419231,-3.0597723732
8394000000,27.0177080557,-3.05952912679
8395000000,27.0177080557,-3.05952912679
8396000000,27.0129440278,-3.05928274058
8396000000,27.0129440278,-3.05928274058
8397000000,27.0105507206,-3.0591583732
8399000000,27.0081498413,-3.05903322468
8400000000,27.0033254988,-3.0587805894
8400000000,27.0033254988,-3.0587805894
8401000000,27.0009020364,-3.05865310528
8403000000,26.9960324662,-3.05839581079
8403000000,26.9960324662,-3.05839581079
8404000000,26.9935863593,-3.05826600315
8406000000,26.991132749,-3.05813542373
8407000000,26.9862028899,-3.05787195521
8407000000,26.9862028899,-3.05787195521
8409000000,26.9837266424,-3.05773906895
8411000000,26.978751581,-3.05747099965
8411000000,26.9762527688,-3.05733581954
8412000000,26.9762527688,-3.05733581954
8413000000,26.9712325204,-3.05706317587
8413000000,26.9712325204,-3.05706317587
8414000000,26.9687110861,-3.05692571535
8416000000,26.9636456686,-3.05664852462
8416000000,26.9636456686,-3.05664852462
8417000000,26.9611016877,-3.05650879754
8419000000,26.9585501499,-3.05636831812
8420000000,26.9559911222,-3.05622708794
8420000000,26.9559911222,-3.05622708794
8421000000,26.9508504705,-3.0559423819
8423000000,26.9482688825,-3.05579890934
8423000000,26.9482688825,-3.05579890934
8424000000,26.9430831248,-3.05550973353
8426000000,26.9378673129,-3.0552175949
8426000000,26.9378673129,-3.0552175949
8428000000,26.9352481247,-3.05507041888
8429000000,26.9299872586,-3.05477386229
8429000000,26.9299872586,-3.05477386229
8430000000,26.9273455846,-3.05462448533
8432000000,26.9220397003,-3.05432354324
8432000000,26.9220397003,-3.05432354324
8433000000,26.9193754946,-3.05417198185
8435000000,26.916703826,-3.05401969607
8435000000,26.9140246323,-3.05386668781
8436000000,26.9113379805,-3.05371295902
8438000000,26.9059421843,-3.05340334766
8438000000,26.9059421843,-3.05340334766
8439000000,26.9032330455,-3.05324746908
8441000000,26.900516459,-3.0530908779
8442000000,26.8950608274,-3.05277556598
8442000000,26.8950608274,-3.05277556598
8444000000,26.8923217885,-3.05261684939
8445000000,26.8868213438,-3.05229730546
8445000000,26.8868213438,-3.05229730546
8447000000,26.8840599445,-3.0521364824
8448000000,26.8785147462,-3.05181274502
8448000000,26.8785147462,-3.05181274502
8449000000,26.8757309544,-3.05164983511
8450000000,26.8729397477,-3.05148623404
8452000000,26.8701410673,-3.05132194409
8452000000,26.8701410673,-3.05132194409
8453000000,26.8645214262,-3.05099130672
8455000000,26.8617004735,-3.05082496396
8456000000,26.8588720637,-3.05065794165
8456000000,26.8588720637,-3.05065794165
8458000000,26.8531930144,-3.05032186795
8458000000,26.8503423839,-3.05015282141
8460000000,26.8474843143,-3.04998310505
8461000000,26.8446188724,-3.04981272135
8461000000,26.8417460012,-3.04964167283
8463000000,26.8388657675,-3.04946996204
8463000000,26.8359781148,-3.04929759156
8464000000,26.8330831097,-3.04912456399
8466000000,26.8301806964,-3.04895088196
8467000000,26.8272709415,-3.04877654811
8467000000,26.8272709415,-3.04877654811
8468000000,26.8214293071,-3.04842593576
8469000000,26.8184974392,-3.0482496627
8471000000,26.8155582526,-3.04807274873
8472000000,26.8126116927,-3.04789519666
8472000000,26.8096578264,-3.04771700929
8474000000,26.8066965993,-3.04753818949
8475000000,26.8007522103,-3.04717866411
8475000000,26.8007522103,-3.04717866411
8477000000,26.7977690616,-3.0469979644
8477000000,26.7947786088,-3.04681664395
8479000000,26.7917808291,-3.04663470577
8480000000,26.7857634383,-3.04626898835
8480000000,26.7857634383,-3.04626898835
8481000000,26.7827438419,-3.04608521525
8482000000,26.779716948,-3.04590083672
8484000000,26.7736414193,-3.04553027597
8484000000,26.7736414193,-3.04553027597
8485000000,26.7705928002,-3.04534410014
8486000000,26.7675369154,-3.04515733167
8488000000,26.761403502,-3.04478202991
8488000000,26.761403502,-3.04478202991
8490000000,26.7583259905,-3.04459350326
8491000000,26.7521493412,-3.04421471532
8493000000,26.7490502214,-3.04402446086
8493000000,26.7459439571,-3.04383363735
8494000000,26.7459439571,-3.04383363735
8494000000,26.7428304975,-3.04364224831
8496000000,26.7397099124,-3.04345029726
8497000000,26.7334472837,-3.04306472345
8497000000,26.7334472837,-3.04306472345
8498000000,26.7303052601,-3.04287110794
8499000000,26.7271561505,-3.04267694489
8501000000,26.7239999051,-3.04248223804
8501000000,26.7208365946,-3.04228699109
8502000000,26.7176661694,-3.04209120784
8504000000,26.711304139,-3.04169804769
8504000000,26.711304139,-3.04169804769
8505000000,26.7081125561,-3.0415006785
8507000000,26.7049139026,-3.04130278846
8508000000,26.6984955517,-3.0409054616
8508000000,26.6984955517,-3.0409054616
8509000000,26.6952758779,-3.0407060328
8511000000,26.688815533,-3.04030566473
8511000000,26.688815533,-3.04030566473
8513000000,26.6855748865,-3.0401047337
8514000000,26.6790727694,-3.03970139842
8514000000,26.6790727694,-3.03970139842
8515000000,26.6758113248,-3.03949900262
8517000000,26.6725429325,-3.03929612708
8518000000,26.6659854818,-3.03888895405
8518000000,26.6659854818,-3.03888895405
8519000000,26.6626964508,-3.03868466529
8520000000,26.6594005264,-3.03847991427
8522000000,26.656097785,-3.03827470543
8522000000,26.6527881785,-3.0380690433
8524000000,26.649471784,-3.03786293239
